Corp ID,Corp Name,Sch ID,School Name,Cohort N,Grad N,Grad Rate,"Non-Waiver
Grad N","Non-Waiver
Grad Rate"
0015,Adams Central Community Schools,0021,Adams Central High School,110,105,95.5%,103,93.6%
0025,North Adams Community Schools,0029,Bellmont Senior High School,178,166,93.3%,156,87.6%
0035,South Adams Schools,0023,South Adams High School,103,99,96.1%,97,94.2%
0125,M S D Southwest Allen County Schls,0047,Homestead Senior High School,535,508,95.0%,493,92.1%
0225,Northwest Allen County Schools,0091,Carroll High School,520,504,96.9%,497,95.6%
0235,Fort Wayne Community Schools,0101,North Side High School,375,303,80.8%,270,72.0%
0235,Fort Wayne Community Schools,0102,R Nelson Snider High School,437,408,93.4%,337,77.1%
0235,Fort Wayne Community Schools,0105,South Side High School,362,307,84.8%,252,69.6%
0235,Fort Wayne Community Schools,0177,Wayne High School,317,287,90.5%,240,75.7%
0235,Fort Wayne Community Schools,0219,Northrop High School,487,448,92.0%,377,77.4%
0255,East Allen County Schools,0049,Leo Junior/Senior High School,214,192,89.7%,189,88.3%
0255,East Allen County Schools,0081,Heritage Jr/Sr High School,152,125,82.2%,110,72.4%
0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,143,125,87.4%,111,77.6%
0255,East Allen County Schools,0297,New Haven High School,274,222,81.0%,195,71.2%
0365,Bartholomew Con School Corp,0397,Columbus North High School,462,421,91.1%,382,82.7%
0365,Bartholomew Con School Corp,0399,Columbus East High School,381,336,88.2%,306,80.3%
0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,75,66,88.0%,59,78.7%
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High Sch,132,123,93.2%,121,91.7%
0515,Blackford County Schools,0489,Blackford High School,127,118,92.9%,112,88.2%
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,157,154,98.1%,150,95.5%
0630,Zionsville Community Schools,0512,Zionsville Community High Sch,450,433,96.2%,428,95.1%
0665,Lebanon Community School Corp,0553,Lebanon Senior High School,235,226,96.2%,213,90.6%
0670,Brown County School Corporation,0573,Brown County High School,182,168,92.3%,163,89.6%
0750,Carroll Consolidated Sch Corp,0621,Carroll Senior High School,84,79,94.0%,79,94.0%
0755,Delphi Community School Corp,0637,Delphi Community High School,123,118,95.9%,110,89.4%
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,70,62,88.6%,59,84.3%
0815,Southeastern School Corp,0689,Lewis Cass Jr-Sr High School,118,97,82.2%,85,72.0%
0875,Logansport Community Sch Corp,0701,Logansport Comm High Sch,283,261,92.2%,237,83.7%
0940,West Clark Community Schools,0765,Henryville Jr & Sr High Sch,71,67,94.4%,56,78.9%
0940,West Clark Community Schools,0777,Silver Creek High School,184,179,97.3%,167,90.8%
0940,West Clark Community Schools,0813,William W Borden High School,59,53,89.8%,47,79.7%
1000,Clarksville Com School Corp,0833,Clarksville Senior High Sch,87,85,97.7%,81,93.1%
1010,Greater Clark County Schools,0809,New Washington Middle/High School,67,65,97.0%,63,94.0%
1010,Greater Clark County Schools,0821,Charlestown Senior High Sch,159,152,95.6%,143,89.9%
1010,Greater Clark County Schools,0849,Jeffersonville High School,468,438,93.6%,398,85.0%
1125,Clay Community Schools,0897,Clay City Jr-Sr High School,57,54,94.7%,52,91.2%
1125,Clay Community Schools,0933,Northview High School,252,231,91.7%,228,90.5%
1150,Clinton Central School Corp,0957,Clinton Central Junior-Senior HS,83,82,98.8%,76,91.6%
1160,Clinton Prairie School Corp,0977,Clinton Prairie Jr-Sr HS,66,62,93.9%,62,93.9%
1170,Community Schools of Frankfort,0997,Frankfort Senior High School,207,188,90.8%,165,79.7%
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,65,59,90.8%,58,89.2%
1300,Crawford Co Com School Corp,1059,Crawford County Jr-Sr HS,106,94,88.7%,92,86.8%
1315,Barr-Reeve Com Schools Inc,1069,Barr Reeve Middle/High School,63,60,95.2%,58,92.1%
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High Sch,70,67,95.7%,67,95.7%
1405,Washington Com Schools,1125,Washington High School,188,179,95.2%,160,85.1%
1560,Sunman-Dearborn Com Sch Corp,7213,East Central High School,339,326,96.2%,309,91.2%
1600,South Dearborn Com School Corp,1179,South Dearborn High School,214,197,92.1%,180,84.1%
1620,Lawrenceburg Com School Corp,1177,Lawrenceburg High School,119,115,96.6%,112,94.1%
1655,Decatur County Com Schools,1263,South Decatur Jr-Sr High Sch,75,72,96.0%,60,80.0%
1655,Decatur County Com Schools,1267,North Decatur Jr-Sr High Sch,74,67,90.5%,61,82.4%
1730,Greensburg Community Schools,1268,Greensburg Community High Sch,127,120,94.5%,116,91.3%
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High Sch,114,99,86.8%,96,84.2%
1820,Garrett-Keyser-Butler Com,1325,Garrett High School,157,135,86.0%,131,83.4%
1835,DeKalb Co Ctl United Sch Dist,1345,DeKalb High School,297,267,89.9%,254,85.5%
