NAME,TOTALEXP,TOTAL EXP $
ADAMS CENTRAL COMMUNITY SCHOOL DISTRICT,12808,"$12,808,000.00"
ALEXANDRIA COMMUNITY SCHOOL CORPORATION,17161,"$17,161,000.00"
ANDERSON COMMUNITY SCHOOL CORPORATION,81673,"$81,673,000.00"
ARGOS COMMUNITY SCHOOLS,6837,"$6,837,000.00"
ATTICA CONSOLIDATED SCHOOL CORPORATION,8035,"$8,035,000.00"
AVON COMMUNITY SCHOOL CORPORATION,98876,"$98,876,000.00"
BARR-REEVE COMMUNITY SCHOOL INC,8560,"$8,560,000.00"
BARTHOLOMEW CONSOLIDATED SCHOOL CORPORATION,138288,"$138,288,000.00"
BATESVILLE COMMUNITY SCHOOL CORPORATION,23175,"$23,175,000.00"
BAUGO COMMUNITY SCHOOLS,19363,"$19,363,000.00"
BEECH GROVE CITY SCHOOLS,37875,"$37,875,000.00"
BENTON COMMUNITY SCHOOL CORPORATION,22341,"$22,341,000.00"
BLACKFORD COUNTY SCHOOLS,16784,"$16,784,000.00"
BLOOMFIELD SCHOOL DISTRICT,8602,"$8,602,000.00"
BLUE RIVER CAREER PROGRAMS,2462,"$2,462,000.00"
BLUFFTON-HARRISON METROPOLITAN SCHOOL DISTRICT,15786,"$15,786,000.00"
BOONE TOWNSHIP SCHOOLS METROPOLITAN SCHOOL DISTRICT,11733,"$11,733,000.00"
BREMEN PUBLIC SCHOOLS,14586,"$14,586,000.00"
BROWN COUNTY CONSOLIDATED SCHOOL CORPORATION,27494,"$27,494,000.00"
BROWNSBURG COMMUNITY SCHOOL CORPORATION,86025,"$86,025,000.00"
BROWNSTOWN CENTRAL COMMUNITY SCHOOL CORPORATION,15948,"$15,948,000.00"
C A BEARD MEMORIAL SCHOOL CORPORATION,11548,"$11,548,000.00"
CANNELTON CITY SCHOOLS,2400,"$2,400,000.00"
CARMEL CLAY SCHOOLS,178981,"$178,981,000.00"
CARROLL CONSOLIDATED SCHOOL CORPORATION,11412,"$11,412,000.00"
CASTON SCHOOL CORPORATION,8227,"$8,227,000.00"
CENTER GROVE COMMUNITY SCHOOL CORPORATION,88524,"$88,524,000.00"
CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,17342,"$17,342,000.00"
CENTRAL NOBLE COMMUNITY SCHOOL CORPORATION,14135,"$14,135,000.00"
CLARK-PLEASANT COMMUNITY SCHOOL CORPORATION,73766,"$73,766,000.00"
CLARKSVILLE COMMUNITY SCHOOL CORPORATION,16941,"$16,941,000.00"
CLAY COMMUNITY SCHOOL DISTRICT,43622,"$43,622,000.00"
