Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,"Non-Waiver
Grad N","Non-Waiver
Grad Rate"
0015,Adams Central Community Schools,87,86,98.9%,85,97.7%
0025,North Adams Community Schools,187,166,88.8%,154,82.4%
0035,South Adams Schools,81,73,90.1%,69,85.2%
0125,M S D Southwest Allen County Schls,561,542,96.6%,529,94.3%
0225,Northwest Allen County Schools,512,495,96.7%,490,95.7%
0235,Fort Wayne Community Schools,1865,1664,89.2%,1429,76.6%
0255,East Allen County Schools,819,752,91.8%,687,83.9%
0365,Bartholomew Con School Corp,799,719,90.0%,660,82.6%
0370,Flat Rock-Hawcreek School Corp,56,56,100.0%,51,91.1%
0395,Benton Community School Corp,111,104,93.7%,100,90.1%
0515,Blackford County Schools,136,125,91.9%,118,86.8%
0615,Western Boone Co Com Sch Dist,143,137,95.8%,135,94.4%
0630,Zionsville Community Schools,455,445,97.8%,445,97.8%
0665,Lebanon Community School Corp,243,227,93.4%,220,90.5%
0670,Brown County School Corporation,144,143,99.3%,135,93.8%
0750,Carroll Consolidated School Corp,59,56,94.9%,56,94.9%
0755,Delphi Community School Corp,107,96,89.7%,90,84.1%
0775,Pioneer Regional School Corp,71,63,88.7%,60,84.5%
0815,Southeastern School Corp,130,126,96.9%,122,93.8%
0875,Logansport Community Sch Corp,278,262,94.2%,237,85.3%
0940,West Clark Community Schools,337,311,92.3%,291,86.4%
1000,Clarksville Community School Corp,92,89,96.7%,82,89.1%
1010,Greater Clark County Schools,726,682,93.9%,615,84.7%
1125,Clay Community Schools,268,249,92.9%,237,88.4%
1150,Clinton Central School Corporation,75,73,97.3%,69,92.0%
1160,Clinton Prairie School Corporation,69,66,95.7%,65,94.2%
1170,Community Schools of Frankfort,232,213,91.8%,191,82.3%
1180,Rossville Con School District,74,74,100.0%,67,90.5%
1300,Crawford County Community Sch Corp,100,86,86.0%,79,79.0%
1315,Barr-Reeve Community Schools Inc,46,44,95.7%,44,95.7%
1375,North Daviess Com Schools,72,67,93.1%,64,88.9%
1405,Washington Community Schools,166,159,95.8%,146,88.0%
1560,Sunman-Dearborn Com Sch Corp,308,293,95.1%,282,91.6%
1600,South Dearborn Community Sch Corp,224,200,89.3%,184,82.1%
1620,Lawrenceburg Community School Corp,146,142,97.3%,127,87.0%
1655,Decatur County Community Schools,158,148,93.7%,130,82.3%
1730,Greensburg Community Schools,140,139,99.3%,131,93.6%
1805,DeKalb Co Eastern Com Sch Dist,131,124,94.7%,108,82.4%
