Corp ID,Corporation Name,Cohort N,Grad N,Grad Rate,Non-Waiver Grad N,Non-Waiver Grad Rate
0015,Adams Central Community Schools,95,93,97.89%,91,95.79%
0025,North Adams Community Schools,184,167,90.76%,156,84.78%
0035,South Adams Schools,111,103,92.79%,99,89.19%
0125,M S D Southwest Allen County Schls,568,546,96.13%,534,94.01%
0225,Northwest Allen County Schools,500,494,98.80%,485,97.00%
0235,Fort Wayne Community Schools,1954,1738,88.95%,1458,74.62%
0255,East Allen County Schools,741,677,91.36%,601,81.11%
0365,Bartholomew Con School Corp,860,763,88.72%,700,81.40%
0370,Flat Rock-Hawcreek School Corp,51,50,98.04%,49,96.08%
0395,Benton Community School Corp,139,131,94.24%,127,91.37%
0515,Blackford County Schools,124,120,96.77%,106,85.48%
0615,Western Boone Co Com Sch Dist,126,121,96.03%,112,88.89%
0630,Zionsville Community Schools,453,439,96.91%,435,96.03%
0665,Lebanon Community School Corp,211,191,90.52%,186,88.15%
0670,Brown County School Corporation,151,148,98.01%,136,90.07%
0750,Carroll Consolidated School Corp,99,94,94.95%,88,88.89%
0755,Delphi Community School Corp,125,114,91.20%,101,80.80%
0775,Pioneer Regional School Corp,51,44,86.27%,42,82.35%
0815,Lewis Cass Schools,115,108,93.91%,96,83.48%
0875,Logansport Community Sch Corp,269,242,89.96%,219,81.41%
0940,West Clark Community Schools,379,343,90.50%,318,83.91%
1000,Clarksville Community School Corp,85,84,98.82%,74,87.06%
1010,Greater Clark County Schools,714,648,90.76%,577,80.81%
1125,Clay Community Schools,277,248,89.53%,237,85.56%
1150,Clinton Central School Corporation,71,65,91.55%,58,81.69%
1160,Clinton Prairie School Corporation,77,69,89.61%,69,89.61%
1170,Community Schools of Frankfort,187,165,88.24%,142,75.94%
1180,Rossville Con School District,83,78,93.98%,74,89.16%
1300,Crawford County Community Sch Corp,110,97,88.18%,90,81.82%
1315,Barr-Reeve Community Schools Inc,55,55,100.00%,54,98.18%
1375,North Daviess Com Schools,74,65,87.84%,59,79.73%
1405,Washington Community Schools,176,169,96.02%,149,84.66%
1560,Sunman-Dearborn Com Sch Corp,319,311,97.49%,294,92.16%
1600,South Dearborn Community Sch Corp,213,192,90.14%,167,78.40%
1620,Lawrenceburg Community School Corp,150,140,93.33%,128,85.33%
1655,Decatur County Community Schools,136,130,95.59%,123,90.44%
1730,Greensburg Community Schools,162,155,95.68%,141,87.04%
1805,DeKalb Co Eastern Com Sch Dist,124,107,86.29%,95,76.61%
1820,Garrett-Keyser-Butler Com Sch Corp,138,134,97.10%,123,89.13%
1835,DeKalb Co Ctl United Sch Dist,298,271,90.94%,244,81.88%
1875,Delaware Community School Corp,212,207,97.64%,202,95.28%
