Corp Id,CORPORATION NAME,Cohort N,Grad N,State Grad Rate,Non-Waiver Grad N,State Non-Waiver Grad Rate
15,Adams Central Community Schools,95,93,97.89%,91,95.79%
5265,Alexandria Community School Corporation,124,117,94.35%,110,88.71%
5275,Anderson Community School Corporation,387,371,95.87%,288,74.42%
5470,Argos Community Schools,47,43,91.49%,41,87.23%
2435,Attica Consolidated School Corporation,52,47,90.38%,42,80.77%
3315,Avon Community School Corporation,687,669,97.38%,632,91.99%
1315,Barr-Reeve Community School Corporation,55,55,100.00%,54,98.18%
365,Bartholomew Consolidated School Corporation,860,763,88.72%,700,81.40%
6895,Batesville Community School Corporation,170,160,94.12%,158,92.94%
2260,Baugo Community Schools,140,125,89.29%,117,83.57%
5380,Beech Grove City Schools,192,182,94.79%,168,87.50%
395,Benton Community School Corporation,139,131,94.24%,127,91.37%
515,Blackford County Schools,124,120,96.77%,106,85.48%
2920,Bloomfield School District,63,61,96.83%,61,96.83%
3405,Blue River Valley Schools,52,49,94.23%,47,90.38%
8445,Bluffton-Harrison Metropolitan School District,101,100,99.01%,90,89.11%
6460,Boone Township Metropolitan School District,89,86,96.63%,86,96.63%
5480,Bremen Public Schools,123,112,91.06%,111,90.24%
670,Brown County School Corporation,151,148,98.01%,136,90.07%
3305,Brownsburg Community School Corporation,600,584,97.33%,567,94.50%
3695,Brownstown Central Community School Corporation,128,118,92.19%,109,85.16%
3455,C. A. Beard Memorial School Corporation,78,74,94.87%,71,91.03%
6340,Cannelton City Schools,21,10,47.62%,8,38.10%
3060,Carmel Clay Schools,1202,1172,97.50%,1143,95.09%
750,Carroll Consolidated School Corporation,99,94,94.95%,88,88.89%
2650,Caston School Corporation,68,59,86.76%,51,75.00%
4205,Center Grove Community School Corporation,587,567,96.59%,550,93.70%
8360,Centerville-Abington Community Schools,95,91,95.79%,85,89.47%
6055,Central Noble Community School Corporation,95,90,94.74%,74,77.89%
4145,Clark-Pleasant Community School Corporation,437,396,90.62%,367,83.98%
1000,Clarksville Community School Corporation,85,84,98.82%,74,87.06%
1125,Clay Community Schools,277,248,89.53%,237,85.56%
1150,Clinton Central School Corporation,71,65,91.55%,58,81.69%
1160,Clinton Prairie School Corporation,77,69,89.61%,69,89.61%
6750,Cloverdale Community Schools,79,74,93.67%,72,91.14%
2270,Concord Community Schools,386,345,89.38%,310,80.31%
2440,Covington Community School Corporation,70,68,97.14%,60,85.71%
1900,Cowan Community School Corporation,53,53,100.00%,52,98.11%
1300,Crawford County Community School Corporation,110,97,88.18%,90,81.82%
5855,Crawfordsville Community Schools,154,148,96.10%,129,83.77%
3710,Crothersville Community Schools,30,29,96.67%,24,80.00%
4660,Crown Point Community School Corporation,667,654,98.05%,614,92.05%
5455,Culver Community Schools Corporation,71,66,92.96%,58,81.69%
1940,Daleville Community Schools,71,68,95.77%,68,95.77%
3325,Danville Community School Corporation,193,178,92.23%,172,89.12%
1655,Decatur County Community Schools,136,130,95.59%,123,90.44%
5300,Decatur Township Metropolitan School District,427,364,85.25%,323,75.64%
1835,DeKalb County Central United School District,298,271,90.94%,244,81.88%
1805,DeKalb County Eastern Community School District,124,107,86.29%,95,76.61%
1875,Delaware Community School Corporation,212,207,97.64%,202,95.28%
755,Delphi Community School Corporation,125,114,91.20%,101,80.80%
6470,Duneland School Corporation,472,436,92.37%,408,86.44%
255,East Allen County Schools,741,677,91.36%,601,81.11%
2725,East Gibson School Corporation,86,73,84.88%,61,70.93%
6060,East Noble School Corporation,301,274,91.03%,245,81.40%
6510,East Porter County School Corporation,170,162,95.29%,155,91.18%
8215,East Washington School Corporation,95,88,92.63%,82,86.32%
2815,Eastbrook Community School Corporation,119,114,95.80%,98,82.35%
2940,Eastern Greene County School District,89,84,94.38%,79,88.76%
3145,Eastern Hancock County Community School Corporation,108,103,95.37%,103,95.37%
3480,Eastern Howard School Corporation,96,93,96.88%,91,94.79%
6620,Eastern Pulaski Community School Corporation,92,85,92.39%,81,88.04%
4215,Edinburgh Community School Corporation,70,66,94.29%,61,87.14%
2305,Elkhart Community Schools,857,786,91.72%,687,80.16%
5280,Elwood Community School Corporation,98,89,90.82%,75,76.53%
5910,Eminence Community School Corporation,25,23,92.00%,21,84.00%
7995,Evansville Vanderburgh School Corporation,1575,1261,80.06%,1122,71.24%
2155,Fairfield Community Schools,160,147,91.88%,142,88.75%
2395,Fayette County School Corporation,268,246,91.79%,224,83.58%
370,Flat Rock-Hawcreek School Corporation,51,50,98.04%,49,96.08%
235,Fort Wayne Community Schools,1954,1738,88.95%,1458,74.62%
1170,Frankfort Community Schools,187,165,88.24%,142,75.94%
4225,Franklin Community School Corporation,371,350,94.34%,320,86.25%
2475,Franklin County Community School Corporation,194,188,96.91%,166,85.57%
5310,Franklin Township Community School Corporation,576,557,96.70%,523,90.80%
5245,Frankton-Lapel Community Schools,226,215,95.13%,198,87.61%
7605,Fremont Community Schools,76,65,85.53%,61,80.26%
8525,Frontier School Corporation,52,48,92.31%,46,88.46%
1820,Garrett-Keyser-Butler Community School Corporation,138,134,97.10%,123,89.13%
4690,Gary Community School Corporation,279,250,89.61%,229,82.08%
2315,Goshen Community Schools,412,364,88.35%,340,82.52%
1010,Greater Clark County Schools,714,648,90.76%,577,80.81%
2120,Greater Jasper Consolidated Schools,259,253,97.68%,249,96.14%
6755,Greencastle Community School Corporation,125,110,88.00%,106,84.80%
3125,Greenfield-Central Community Schools,342,308,90.06%,297,86.84%
1730,Greensburg Community Schools,162,155,95.68%,141,87.04%
4245,Greenwood Community School Corporation,256,233,91.02%,227,88.67%
4700,Griffith Public Schools,189,180,95.24%,164,86.77%
7610,Hamilton Community Schools,28,25,89.29%,20,71.43%
