NAME,EXPENDITURES
ADAMS CENTRAL COMMUNITY SCHOOL DISTRICT,"$25,387,170.31 "
ALEXANDRIA COMMUNITY SCHOOL CORPORATION,"$17,087,501.77 "
ANDERSON COMMUNITY SCHOOL CORPORATION,"$100,849,584.24 "
ARGOS COMMUNITY SCHOOLS,"$7,338,367.13 "
ATTICA CONSOLIDATED SCHOOL CORPORATION,"$7,755,041.93 "
AVON COMMUNITY SCHOOL CORPORATION,"$118,976,941.85 "
BARR-REEVE COMMUNITY SCHOOL INC,"$10,430,224.75 "
BARTHOLOMEW CONSOLIDATED SCHOOL CORPORATION,"$143,923,564.01 "
BATESVILLE COMMUNITY SCHOOL CORPORATION,"$24,793,335.96 "
BAUGO COMMUNITY SCHOOLS,"$21,966,287.37 "
BEECH GROVE CITY SCHOOLS,"$35,256,765.82 "
BENTON COMMUNITY SCHOOL CORPORATION,"$24,285,759.99 "
BLACKFORD COUNTY SCHOOLS,"$18,525,731.35 "
BLOOMFIELD SCHOOL DISTRICT,"$9,183,858.00 "
BLUE RIVER VALLEY SCHOOLS,"$7,427,608.21 "
BLUFFTON-HARRISON METROPOLITAN SCHOOL DISTRICT,
BOONE TOWNSHIP SCHOOLS METROPOLITAN SCHOOL DISTRICT,
BREMEN PUBLIC SCHOOLS,"$14,816,134.55 "
BROWN COUNTY CONSOLIDATED SCHOOL CORPORATION,"$27,662,218.06 "
BROWNSBURG COMMUNITY SCHOOL CORPORATION,"$109,380,203.15 "
BROWNSTOWN CENTRAL COMMUNITY SCHOOL CORPORATION,"$16,103,886.79 "
C A BEARD MEMORIAL SCHOOL CORPORATION,"$12,450,842.49 "
CANNELTON CITY SCHOOLS,"$2,714,656.58 "
CARMEL CLAY SCHOOLS,"$193,913,724.78 "
CARROLL CONSOLIDATED SCHOOL CORPORATION,"$11,818,258.48 "
CASTON SCHOOL CORPORATION,"$7,417,025.83 "
CENTER GROVE COMMUNITY SCHOOL CORPORATION,"$124,539,135.58 "
CENTERVILLE-ABINGTON COMMUNITY SCHOOLS,"$17,790,385.86 "
CENTRAL NOBLE COMMUNITY SCHOOL CORP,"$15,196,954.48 "
CLARK-PLEASANT COMMUNITY SCHOOL CORPORATION,"$74,975,727.01 "
CLARKSVILLE COMMUNITY SCHOOL CORPORATION,"$18,522,871.81 "
CLAY COMMUNITY SCHOOL DISTRICT,"$49,004,878.16 "
CLINTON CENTRAL SCHOOL CORPORATION,"$11,756,325.03 "
CLINTON PRAIRIE SCHOOL CORPORATION,"$12,140,258.54 "
CLOVERDALE COMMUNITY SCHOOLS,"$13,947,548.03 "
CONCORD COMMUNITY SCHOOLS,"$73,100,312.67 "
COVINGTON COMMUNITY SCHOOL CORPORATION,"$11,821,282.80 "
COWAN COMMUNITY SCHOOL CORPORATION,"$7,823,183.02 "
CRAWFORD COUNTY COMMUNITY SCHOOL CORPORATION,"$16,195,591.87 "
CRAWFORDSVILLE COMMUNITY SCHOOLS,"$35,305,265.01 "
CROTHERSVILLE COMMUNITY SCHOOLS,"$5,320,853.02 "
CROWN POINT COMMUNITY SCHOOL CORPORATION,"$101,423,635.73 "
CULVER COMMUNITY SCHOOL CORPORATION,"$12,274,731.37 "
DALEVILLE COMMUNITY SCHOOLS,"$10,722,778.95 "
DANVILLE COMMUNITY SCHOOL CORPORATION,"$30,348,705.93 "
DECATUR COUNTY COMMUNITY SCHOOLS,"$22,541,516.18 "
DECATUR TOWNSHIP METROPOLITAN SCHOOL DISTRICT,
DEKALB COUNTY CENTRAL UNITED SCHOOL DISTRICT,"$40,756,576.31 "
DEKALB COUNTY EASTERN COMMUNITY SCHOOL DISTRICT,"$40,844,757.41 "
DELAWARE COMMUNITY SCHOOL CORPORATION,"$27,897,019.24 "
DELPHI COMMUNITY SCHOOL CORPORATION,"$19,027,295.64 "
DUNELAND SCHOOL CORPORATION,"$72,485,104.59 "
EAST ALLEN COUNTY SCHOOLS,"$118,571,483.96 "
EAST GIBSON SCHOOL CORPORATION,"$9,253,388.08 "
EAST NOBLE SCHOOL CORPORATION,"$45,600,238.14 "
EAST PORTER COUNTY SCHOOL CORPORATION,"$30,386,590.41 "
EAST WASHINGTON SCHOOL CORPORATION,"$16,303,557.04 "
EASTBROOK COMMUNITY SCHOOL CORPORATION,"$15,278,798.87 "
EASTERN GREENE SCHOOLS,"$15,500,780.92 "
EASTERN HANCOCK COUNTY COMMUNITY SCHOOL CORPORATION,"$12,585,789.58 "
EASTERN PULASKI COMMUNITY SCHOOL CORPORATION,"$13,712,940.15 "
EASTERN-HOWARD COMMUNITY SCHOOL CORPORATION,"$15,628,406.14 "
EDINBURGH COMMUNITY SCHOOL CORPORATION,"$8,915,215.96 "
