Corp ID,Corp Name,County,Corp Grade 2014,Corp Grade 2015,2015 Hold Harmless Grade
0015,Adams Central Community Schools,Adams,A,C,A
0025,North Adams Community Schools,Adams,B,C,B
0035,South Adams Schools,Adams,A,C,A
0125,M S D Southwest Allen County Schls,Allen,A,A,A
0225,Northwest Allen County Schools,Allen,A,A,A
0235,Fort Wayne Community Schools,Allen,B,F,B
0255,East Allen County Schools,Allen,A,C,A
0365,Bartholomew Con School Corp,Bartholomew,A,C,A
0370,Flat Rock-Hawcreek School Corp,Bartholomew,A,B,A
0395,Benton Community School Corp,Benton,C,C,C
0515,Blackford County Schools,Blackford,B,C,B
0615,Western Boone Co Com Sch Dist,Boone,A,C,A
0630,Zionsville Community Schools,Boone,A,A,A
0665,Lebanon Community School Corp,Boone,A,B,A
0670,Brown County School Corporation,Brown,A,C,A
0750,Carroll Consolidated Sch Corp,Carroll,C,D,C
0755,Delphi Community School Corp,Carroll,A,C,A
0775,Pioneer Regional School Corp,Cass,B,D,B
0815,Southeastern School Corp,Cass,B,D,B
0875,Logansport Community Sch Corp,Cass,B,D,B
0940,West Clark Community Schools,Clark,B,D,B
1000,Clarksville Com School Corp,Clark,C,C,C
1010,Greater Clark County Schools,Clark,C,D,C
1125,Clay Community Schools,Clay,B,D,B
1150,Clinton Central School Corp,Clinton,B,C,B
1160,Clinton Prairie School Corp,Clinton,B,B,B
1170,Community Schools of Frankfort,Clinton,D,D,D
1180,Rossville Con School District,Clinton,A,C,A
1300,Crawford Co Com School Corp,Crawford,A,B,A
1315,Barr-Reeve Com Schools Inc,Daviess,A,A,A
1375,North Daviess Com Schools,Daviess,A,C,A
1405,Washington Com Schools,Daviess,B,D,B
1560,Sunman-Dearborn Com Sch Corp,Dearborn,A,C,A
1600,South Dearborn Com School Corp,Dearborn,B,C,B
1620,Lawrenceburg Com School Corp,Dearborn,B,C,B
1655,Decatur County Com Schools,Decatur,B,C,B
1730,Greensburg Community Schools,Decatur,A,D,A
1805,DeKalb Co Eastern Com Sch Dist,Dekalb,B,C,B
