Corp ID,Corp Name,County,2016 Corp Grade
0015,Adams Central Community Schools,Adams,B
0025,North Adams Community Schools,Adams,B
0035,South Adams Schools,Adams,B
0125,M S D Southwest Allen County Schls,Allen,B
0225,Northwest Allen County Schools,Allen,B
0235,Fort Wayne Community Schools,Allen,C
0255,East Allen County Schools,Allen,B
0365,Bartholomew Con School Corp,Bartholomew,B
0370,Flat Rock-Hawcreek School Corp,Bartholomew,B
0395,Benton Community School Corp,Benton,B
0515,Blackford County Schools,Blackford,B
0615,Western Boone Co Com Sch Dist,Boone,B
0630,Zionsville Community Schools,Boone,A
0665,Lebanon Community School Corp,Boone,B
0670,Brown County School Corporation,Brown,B
0750,Carroll Consolidated School Corp,Carroll,B
0755,Delphi Community School Corp,Carroll,B
0775,Pioneer Regional School Corp,Cass,C
0815,Southeastern School Corp,Cass,C
0875,Logansport Community Sch Corp,Cass,C
0940,West Clark Community Schools,Clark,C
1000,Clarksville Community School Corp,Clark,B
1010,Greater Clark County Schools,Clark,B
1125,Clay Community Schools,Clay,B
1150,Clinton Central School Corporation,Clinton,B
1160,Clinton Prairie School Corporation,Clinton,C
1170,Community Schools of Frankfort,Clinton,C
1180,Rossville Con School District,Clinton,C
1300,Crawford County Community Sch Corp,Crawford,B
1315,Barr-Reeve Community Schools Inc,Daviess,A
1375,North Daviess Com Schools,Daviess,B
1405,Washington Community Schools,Daviess,C
1560,Sunman-Dearborn Com Sch Corp,Dearborn,B
1600,South Dearborn Community Sch Corp,Dearborn,C
1620,Lawrenceburg Community School Corp,Dearborn,B
1655,Decatur County Community Schools,Decatur,B
1730,Greensburg Community Schools,Decatur,B
1805,DeKalb Co Eastern Com Sch Dist,Dekalb,B
1820,Garrett-Keyser-Butler Com Sch Corp,Dekalb,B
1835,DeKalb Co Ctl United Sch Dist,Dekalb,B
1875,Delaware Community School Corp,Delaware,B
1885,Wes-Del Community Schools,Delaware,B
1895,Liberty-Perry Community Sch Corp,Delaware,B
1900,Cowan Community School Corp,Delaware,B
1910,Yorktown Community Schools,Delaware,B
1940,Daleville Community Schools,Delaware,B
1970,Muncie Community Schools,Delaware,C
2040,Northeast Dubois Co Sch Corp,Dubois,A
2100,Southeast Dubois Co Sch Corp,Dubois,A
2110,Southwest Dubois Co Sch Corp,Dubois,B
2120,Greater Jasper Consolidated Schs,Dubois,A
2155,Fairfield Community Schools,Elkhart,B
2260,Baugo Community Schools,Elkhart,B
2270,Concord Community Schools,Elkhart,C
2275,Middlebury Community Schools,Elkhart,B
2285,Wa-Nee Community Schools,Elkhart,A
2305,Elkhart Community Schools,Elkhart,C
2315,Goshen Community Schools,Elkhart,B
2395,Fayette County School Corporation,Fayette,B
2400,New Albany-Floyd Co Con Sch,Floyd,B
2435,Attica Consolidated School Corp,Fountain,C
2440,Covington Community School Corp,Fountain,B
2455,Southeast Fountain School Corp,Fountain,B
2475,Franklin County Community Sch Corp,Franklin,B
2645,Rochester Community School Corp,Fulton,B
2650,Caston School Corporation,Fulton,B
2725,East Gibson School Corporation,Gibson,B
2735,North Gibson School Corp,Gibson,B
2765,South Gibson School Corporation,Gibson,B
2815,Eastbrook Community Sch Corp,Grant,B
2825,Madison-Grant United School Corp,Grant,B
2855,Mississinewa Community School Corp,Grant,C
2865,Marion Community Schools,Grant,C
2920,Bloomfield School District,Greene,B
2940,Eastern Greene Schools,Greene,B
2950,Linton-Stockton School Corporation,Greene,B
2960,M S D Shakamak Schools,Greene,B
2980,White River Valley School District,Greene,B
3005,Hamilton Southeastern Schools,Hamilton,A
3025,Hamilton Heights School Corp,Hamilton,B
3030,Westfield-Washington Schools,Hamilton,B
3055,Sheridan Community Schools,Hamilton,C
3060,Carmel Clay Schools,Hamilton,A
3070,Noblesville Schools,Hamilton,B
3115,Southern Hancock Co Com Sch Corp,Hancock,B
3125,Greenfield-Central Com Schools,Hancock,B
3135,Mt Vernon Community School Corp,Hancock,C
3145,Eastern Hancock Co Com Sch Corp,Hancock,B
3160,Lanesville Community School Corp,Harrison,B
3180,North Harrison Com School Corp,Harrison,B
3190,South Harrison Com Schools,Harrison,B
3295,North West Hendricks Schools,Hendricks,A
3305,Brownsburg Community School Corp,Hendricks,A
3315,Avon Community School Corp,Hendricks,B
