Corp ID,Corporation Name,2016-17 Grade,2015-16 Grade
0015,Adams Central Community Schools,B,B
0025,North Adams Community Schools,B,B
0035,South Adams Schools,A,B
0125,M S D Southwest Allen County Schls,A,B
0225,Northwest Allen County Schools,A,B
0235,Fort Wayne Community Schools,C,C
0255,East Allen County Schools,B,B
0365,Bartholomew Con School Corp,B,B
0370,Flat Rock-Hawcreek School Corp,B,B
0395,Benton Community School Corp,B,B
0515,Blackford County Schools,B,B
0615,Western Boone Co Com Sch Dist,B,B
0630,Zionsville Community Schools,A,A
0665,Lebanon Community School Corp,B,B
0670,Brown County School Corporation,B,B
0750,Carroll Consolidated School Corp,B,B
0755,Delphi Community School Corp,B,B
0775,Pioneer Regional School Corp,B,C
0815,Southeastern School Corp,B,C
0875,Logansport Community Sch Corp,B,C
0940,West Clark Community Schools,B,C
1000,Clarksville Community School Corp,C,B
1010,Greater Clark County Schools,B,B
1125,Clay Community Schools,B,B
1150,Clinton Central School Corporation,B,B
1160,Clinton Prairie School Corporation,B,C
1170,Community Schools of Frankfort,C,C
1180,Rossville Con School District,A,C
1300,Crawford County Community Sch Corp,B,B
1315,Barr-Reeve Community Schools Inc,A,A
1375,North Daviess Com Schools,A,B
1405,Washington Community Schools,C,C
1560,Sunman-Dearborn Com Sch Corp,A,B
1600,South Dearborn Community Sch Corp,C,C
1620,Lawrenceburg Community School Corp,A,B
1655,Decatur County Community Schools,B,B
1730,Greensburg Community Schools,C,B
1805,DeKalb Co Eastern Com Sch Dist,A,B
1820,Garrett-Keyser-Butler Com Sch Corp,B,B
1835,DeKalb Co Ctl United Sch Dist,B,B
1875,Delaware Community School Corp,B,B
1885,Wes-Del Community Schools,C,B
1895,Liberty-Perry Community Sch Corp,B,B
1900,Cowan Community School Corp,B,B
1910,Yorktown Community Schools,B,B
1940,Daleville Community Schools,B,B
1970,Muncie Community Schools,C,C
2040,Northeast Dubois Co Sch Corp,A,A
2100,Southeast Dubois Co Sch Corp,A,A
2110,Southwest Dubois Co Sch Corp,B,B
2120,Greater Jasper Consolidated Schs,B,A
2155,Fairfield Community Schools,B,B
2260,Baugo Community Schools,B,B
2270,Concord Community Schools,B,C
2275,Middlebury Community Schools,B,B
2285,Wa-Nee Community Schools,A,A
2305,Elkhart Community Schools,C,C
2315,Goshen Community Schools,C,B
2395,Fayette County School Corporation,B,B
2400,New Albany-Floyd Co Con Sch,B,B
2435,Attica Consolidated School Corp,C,C
2440,Covington Community School Corp,B,B
2455,Southeast Fountain School Corp,B,B
2475,Franklin County Community Sch Corp,B,B
2645,Rochester Community School Corp,D,B
2650,Caston School Corporation,C,B
2725,East Gibson School Corporation,B,B
2735,North Gibson School Corp,C,B
2765,South Gibson School Corporation,A,B
2815,Eastbrook Community Sch Corp,B,B
2825,Madison-Grant United School Corp,B,B
2855,Mississinewa Community School Corp,C,C
2865,Marion Community Schools,C,C
2920,Bloomfield School District,B,B
2940,Eastern Greene Schools,B,B
2950,Linton-Stockton School Corporation,C,B
2960,M S D Shakamak Schools,B,B
2980,White River Valley School District,B,B
3005,Hamilton Southeastern Schools,A,A
3025,Hamilton Heights School Corp,B,B
3030,Westfield-Washington Schools,B,B
3055,Sheridan Community Schools,A,C
3060,Carmel Clay Schools,A,A
3070,Noblesville Schools,A,B
3115,Southern Hancock Co Com Sch Corp,A,B
3125,Greenfield-Central Com Schools,B,B
3135,Mt Vernon Community School Corp,A,C
3145,Eastern Hancock Co Com Sch Corp,A,B
3160,Lanesville Community School Corp,B,B
3180,North Harrison Com School Corp,B,B
3190,South Harrison Com Schools,A,B
3295,North West Hendricks Schools,A,A
3305,Brownsburg Community School Corp,A,A
3315,Avon Community School Corp,B,B
3325,Danville Community School Corp,A,A
3330,Plainfield Community School Corp,A,A
3335,Mill Creek Community Sch Corp,B,B
3405,Blue River Valley Schools,C,B
3415,South Henry School Corp,C,C
3435,Shenandoah School Corporation,B,B
3445,New Castle Community School Corp,B,B
3455,C A Beard Memorial School Corp,B,C
3460,Taylor Community School Corp,C,C
3470,Northwestern School Corp,B,B
3480,Eastern Howard School Corporation,A,C
3490,Western School Corporation,A,A
3500,Kokomo School Corporation,D,C
3625,Huntington Co Com Sch Corp,B,B
3640,Medora Community School Corp,D,B
3675,Seymour Community Schools,C,C
3695,Brownstown Cnt Com Sch Corp,B,B
3710,Crothersville Community Schools,C,B
3785,Kankakee Valley School Corp,B,B
3815,Rensselaer Central School Corp,B,B
3945,Jay School Corporation,B,B
3995,Madison Consolidated Schools,C,B
4000,Southwestern-Jefferson Co Con,C,C
4015,Jennings County School Corporation,B,B
4145,Clark-Pleasant Community Sch Corp,B,B
4205,Center Grove Community School Corp,A,B
4215,Edinburgh Community School Corp,B,B
4225,Franklin Community School Corp,B,B
4245,Greenwood Community Sch Corp,B,A
4255,Nineveh-Hensley-Jackson United,B,B
4315,North Knox School Corp,B,B
4325,South Knox School Corp,B,B
4335,Vincennes Community School Corp,C,B
4345,Wawasee Community School Corp,C,C
4415,Warsaw Community Schools,B,B
4445,Tippecanoe Valley School Corp,B,B
4455,Whitko Community School Corp,C,B
4515,Prairie Heights Community Sch Corp,B,B
4525,Westview School Corporation,A,B
4535,Lakeland School Corporation,B,C
4580,Hanover Community School Corp,B,B
4590,River Forest Community Sch Corp,C,D
4600,Merrillville Community School Corp,B,C
4615,Lake Central School Corporation,B,B
4645,Tri-Creek School Corporation,A,B
4650,Lake Ridge New Tech Schools,C,C
4660,Crown Point Community School Corp,A,B
4670,School City of East Chicago,C,D
4680,Lake Station Community Schools,B,C
4690,Gary Community School Corp,Appeal Pending,F
4700,Griffith Public Schools,B,B
4710,School City of Hammond,C,C
4720,School Town of Highland,B,B
4730,School City of Hobart,B,B
4740,School Town of Munster,A,B
4760,School City of Whiting,B,B
4805,New Prairie United School Corp,B,B
4860,M S D of New Durham Township,C,C
4915,Tri-Township Cons School Corp,B,C
4925,Michigan City Area Schools,C,C
4940,South Central Com School Corp,B,B
4945,LaPorte Community School Corp,B,B
5075,North Lawrence Com Schools,B,C
5085,Mitchell Community Schools,C,C
5245,Frankton-Lapel Community Schools,B,C
5255,South Madison Com Sch Corp,B,B
5265,Alexandria Community School Corp,C,C
5275,Anderson Community School Corp,C,C
5280,Elwood Community School Corp,D,C
5300,M S D Decatur Township,C,C
5310,Franklin Township Com Sch Corp,B,B
5330,M S D Lawrence Township,C,C
5340,Perry Township Schools,B,B
5350,M S D Pike Township,C,C
5360,M S D Warren Township,D,C
5370,M S D Washington Township,C,C
5375,M S D Wayne Township,C,C
5380,Beech Grove City Schools,C,C
5385,Indianapolis Public Schools,D,D
5400,School Town of Speedway,A,A
5455,Culver Community Schools Corp,C,C
5470,Argos Community Schools,B,C
5480,Bremen Public Schools,B,B
5485,Plymouth Community School Corp,B,B
5495,Triton School Corporation,A,B
5520,Shoals Community School Corp,C,C
5525,Loogootee Community Sch Corp,B,B
5615,Maconaquah School Corp,B,C
5620,North Miami Community Schools,B,C
5625,Oak Hill United School Corp,C,C
5635,Peru Community Schools,B,B
5705,Richland-Bean Blossom C S C,A,A
5740,Monroe County Community Sch Corp,A,B
5835,North Montgomery Com Sch Corp,B,B
5845,South Montgomery Com Sch Corp,B,B
5855,Crawfordsville Community Schools,B,B
5900,Monroe-Gregg School District,B,C
5910,Eminence Community School Corp,C,C
5925,M S D Martinsville Schools,B,B
5930,Mooresville Con School Corp,B,B
5945,North Newton School Corp,C,C
5995,South Newton School Corp,C,B
6055,Central Noble Com School Corp,C,C
6060,East Noble School Corporation,B,B
6065,West Noble School Corporation,B,B
6080,Rising Sun-Ohio Co Com,B,C
6145,Orleans Community Schools,B,B
6155,Paoli Community School Corp,C,C
6160,Springs Valley Com School Corp,B,C
6195,Spencer-Owen Community Schools,C,B
6260,Southwest Parke Com Sch Corp,C,C
6325,Perry Central Com Schools Corp,A,B
6340,Cannelton City Schools,F,B
6350,Tell City-Troy Twp School Corp,A,B
6375,North Central Parke Comm Schl Corp,B,C
6445,Pike County School Corp,C,B
6460,M S D Boone Township,B,B
6470,Duneland School Corporation,A,B
