,,2018 State Graduation Rate Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,American Indian,,,Asian,,,Black,,,Hispanic,,,Multiracial,,,Native Hawaiian or Other Pacific Islander,,,White,,,Paid Meals,,,Free/Reduced Meals,,,General Education,,,Special Education,,,Non-English Language Learner,,,English Language Learner,,,Female,,,Male,,,Total,,
Corp Id,CORPORATION NAME,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate,Cohort Count,Graduates,Graduation Rate
0015,Adams Central Community Schools,,,,,,,,,,***,***,***,,,,,,,82,78,95.12%,66,65,98.48%,18,15,83.33%,77,77,100.00%,***,***,***,82,80,97.56%,***,***,***,35,35,100.00%,50,46,92.00%,85,81,95.29%
0025,North Adams Community Schools,***,***,***,***,***,***,***,***,***,15,14,93.33%,***,***,***,,,,121,117,96.69%,95,94,98.95%,46,42,91.30%,130,127,97.69%,11,9,81.82%,141,136,96.45%,,,,70,68,97.14%,72,68,94.44%,142,136,95.77%
0035,South Adams Schools,,,,,,,***,***,***,10,9,90.00%,***,***,***,,,,83,76,91.57%,62,61,98.39%,28,25,89.29%,82,79,96.34%,***,***,***,90,85,94.44%,***,***,***,52,46,88.46%,43,41,95.35%,95,87,91.58%
0125,M S D Southwest Allen County Schls,***,***,***,24,24,100.00%,27,26,96.30%,27,26,96.30%,19,17,89.47%,***,***,***,453,435,96.03%,507,491,96.84%,46,41,89.13%,509,501,98.43%,44,31,70.45%,552,531,96.20%,***,***,***,275,269,97.82%,279,263,94.27%,554,532,96.03%
0225,Northwest Allen County Schools,***,***,***,16,15,93.75%,13,12,92.31%,16,13,81.25%,15,15,100.00%,,,,503,487,96.82%,469,459,97.87%,89,81,91.01%,505,494,97.82%,54,46,85.19%,557,539,96.77%,***,***,***,270,264,97.78%,294,279,94.90%,564,543,96.28%
0235,Fort Wayne Community Schools,***,***,***,103,93,90.29%,484,409,84.50%,295,254,86.10%,148,122,82.43%,***,***,***,957,838,87.57%,763,705,92.40%,1169,1002,85.71%,1646,1501,91.19%,296,208,70.27%,1879,1664,88.56%,63,45,71.43%,994,879,88.43%,1001,844,84.32%,1995,1723,86.37%
0255,East Allen County Schools,***,***,***,51,45,88.24%,105,81,77.14%,65,58,89.23%,37,29,78.38%,,,,566,512,90.46%,484,459,94.83%,318,266,83.65%,726,682,93.94%,80,43,53.75%,787,709,90.09%,19,16,84.21%,407,378,92.87%,419,349,83.29%,826,727,88.01%
0365,Bartholomew Con School Corp,***,***,***,36,36,100.00%,17,16,94.12%,72,62,86.11%,40,33,82.50%,***,***,***,697,626,89.81%,615,585,95.12%,227,191,84.14%,756,704,93.12%,91,72,79.12%,831,764,91.94%,16,12,75.00%,388,363,93.56%,479,414,86.43%,867,777,89.62%
0370,Flat Rock-Hawcreek School Corp,,,,,,,,,,***,***,***,***,***,***,,,,69,67,97.10%,51,50,98.04%,21,19,90.48%,62,60,96.77%,10,9,90.00%,72,69,95.83%,,,,31,30,96.77%,41,39,95.12%,72,69,95.83%
0395,Benton Community School Corp,,,,***,***,***,,,,11,11,100.00%,***,***,***,,,,120,115,95.83%,80,79,98.75%,54,50,92.59%,103,102,99.03%,31,27,87.10%,133,128,96.24%,***,***,***,71,68,95.77%,64,62,96.88%,135,130,96.30%
0515,Blackford County Schools,,,,,,,***,***,***,***,***,***,***,***,***,,,,123,115,93.50%,68,62,91.18%,61,58,95.08%,114,109,95.61%,15,11,73.33%,127,118,92.91%,***,***,***,48,48,100.00%,81,72,88.89%,129,120,93.02%
0615,Western Boone Co Com Sch Dist,***,***,***,,,,,,,***,***,***,***,***,***,,,,124,120,96.77%,97,95,97.94%,31,29,93.55%,107,107,100.00%,21,17,80.95%,128,124,96.88%,,,,62,62,100.00%,69,65,94.20%,131,127,96.95%
0630,Zionsville Community Schools,***,***,***,17,15,88.24%,10,9,90.00%,16,16,100.00%,15,15,100.00%,,,,438,427,97.49%,469,458,97.65%,26,23,88.46%,439,433,98.63%,56,48,85.71%,492,480,97.56%,***,***,***,242,237,97.93%,255,246,96.47%,497,483,97.18%
0665,Lebanon Community School Corp,,,,***,***,***,***,***,***,12,11,91.67%,***,***,***,,,,203,190,93.60%,156,149,95.51%,67,63,94.03%,187,184,98.40%,36,28,77.78%,223,212,95.07%,,,,110,104,94.55%,117,109,93.16%,227,213,93.83%
0670,Brown County School Corporation,***,***,***,***,***,***,,,,***,***,***,***,***,***,,,,149,145,97.32%,92,91,98.91%,67,65,97.01%,138,136,98.55%,21,20,95.24%,158,155,98.10%,***,***,***,83,81,97.59%,78,76,97.44%,161,157,97.52%
0750,Carroll Consolidated School Corp,***,***,***,,,,***,***,***,***,***,***,***,***,***,,,,83,79,95.18%,61,61,100.00%,28,25,89.29%,82,80,97.56%,***,***,***,89,86,96.63%,,,,47,45,95.74%,44,41,93.18%,91,86,94.51%
0755,Delphi Community School Corp,***,***,***,,,,,,,***,***,***,,,,,,,93,81,87.10%,58,56,96.55%,39,29,74.36%,90,78,86.67%,***,***,***,99,85,85.86%,,,,54,48,88.89%,45,37,82.22%,99,85,85.86%
0775,Pioneer Regional School Corp,***,***,***,***,***,***,,,,***,***,***,,,,,,,70,70,100.00%,43,43,100.00%,31,31,100.00%,71,71,100.00%,***,***,***,73,73,100.00%,***,***,***,33,33,100.00%,41,41,100.00%,74,74,100.00%
0815,Lewis Cass Schools,,,,,,,***,***,***,***,***,***,,,,,,,95,92,96.84%,79,76,96.20%,22,21,95.45%,89,88,98.88%,12,9,75.00%,101,97,96.04%,,,,46,45,97.83%,55,52,94.55%,101,97,96.04%
0875,Logansport Community Sch Corp,,,,***,***,***,***,***,***,88,86,97.73%,***,***,***,,,,162,156,96.30%,144,139,96.53%,122,119,97.54%,252,247,98.02%,14,11,78.57%,248,241,97.18%,18,17,94.44%,130,126,96.92%,138,134,97.10%,268,260,97.01%
0940,West Clark Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,10,9,90.00%,***,***,***,336,316,94.05%,271,262,96.68%,88,77,87.50%,321,308,95.95%,39,31,79.49%,360,339,94.17%,,,,172,164,95.35%,192,177,92.19%,364,341,93.68%
1000,Clarksville Community School Corp,,,,,,,10,10,100.00%,***,***,***,***,***,***,***,***,***,83,82,98.80%,47,47,100.00%,62,61,98.39%,92,92,100.00%,17,16,94.12%,108,107,99.07%,***,***,***,48,48,100.00%,61,60,98.36%,109,108,99.08%
1010,Greater Clark County Schools,,,,***,***,***,104,95,91.35%,63,60,95.24%,55,54,98.18%,***,***,***,491,475,96.74%,384,377,98.18%,325,308,94.77%,618,606,98.06%,95,80,84.21%,695,670,96.40%,18,16,88.89%,375,366,97.60%,347,327,94.24%,722,693,95.98%
1125,Clay Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,,,242,225,92.98%,139,136,97.84%,113,99,87.61%,211,204,96.68%,41,31,75.61%,252,235,93.25%,,,,148,139,93.92%,104,96,92.31%,252,235,93.25%
1150,Clinton Central School Corporation,***,***,***,,,,,,,,,,,,,,,,56,52,92.86%,34,34,100.00%,19,18,94.74%,46,45,97.83%,***,***,***,54,52,96.30%,,,,23,22,95.65%,34,31,91.18%,57,53,92.98%
1160,Clinton Prairie School Corporation,,,,,,,,,,***,***,***,***,***,***,,,,65,62,95.38%,41,40,97.56%,27,25,92.59%,58,57,98.28%,10,8,80.00%,68,65,95.59%,,,,34,32,94.12%,35,33,94.29%,69,65,94.20%
1170,Community Schools of Frankfort,,,,,,,***,***,***,104,93,89.42%,***,***,***,,,,117,102,87.18%,86,82,95.35%,135,120,88.89%,203,192,94.58%,20,10,50.00%,206,191,92.72%,17,11,64.71%,106,102,96.23%,123,100,81.30%,229,202,88.21%
1180,Rossville Con School District,,,,***,***,***,***,***,***,,,,***,***,***,,,,65,56,86.15%,51,47,92.16%,17,13,76.47%,61,54,88.52%,***,***,***,68,60,88.24%,***,***,***,40,37,92.50%,31,23,74.19%,71,60,84.51%
1300,Crawford County Community Sch Corp,,,,,,,,,,***,***,***,,,,,,,107,98,91.59%,54,54,100.00%,53,46,86.79%,98,95,96.94%,***,***,***,107,100,93.46%,,,,41,40,97.56%,68,60,88.24%,109,100,91.74%
1315,Barr-Reeve Community Schools Inc,,,,,,,***,***,***,,,,,,,,,,41,41,100.00%,31,31,100.00%,11,11,100.00%,40,40,100.00%,***,***,***,42,42,100.00%,,,,23,23,100.00%,20,20,100.00%,43,43,100.00%
1375,North Daviess Com Schools,,,,,,,,,,***,***,***,,,,,,,74,72,97.30%,40,40,100.00%,35,33,94.29%,63,63,100.00%,12,10,83.33%,75,73,97.33%,,,,42,41,97.62%,33,32,96.97%,75,73,97.33%
1405,Washington Community Schools,,,,***,***,***,***,***,***,22,18,81.82%,***,***,***,,,,139,126,90.65%,86,79,91.86%,82,74,90.24%,147,138,93.88%,23,15,65.22%,166,150,90.36%,***,***,***,86,80,93.02%,87,74,85.06%,173,154,89.02%
