Corp ID,Corporation Name,Native American Cohort Count,Native American Graduates,Native American Grad Rate,Asian Cohort Count,Asian Graduates,Asian Grad Rate,Black Cohort Count,Black Graduates,Black Grad Rate,Hispanic Cohort Count,Hispanic Graduates,Hispanic Grad Rate,Multiracial Cohort Count,Multiracial Graduates,Multiracial Grad Rate,Native Pacific Islander Cohort Count,Native Pacific Islander Graduates,Native Pacific Islander Grad Rate,White Cohort Count,White Graduates,White Grad Rate,Paid meals,Paid Meals Graduates,Paid Meals Grad Rate,Free/Reduced price meals,Free/Reduced Meals Graduates,Free/Reduced Meals Grad Rate,General Ed Cohort Count,General Ed Graduates,General Ed Grad Rate,Special Ed Cohort Count,Special Ed Graduates,Special Ed Grad Rate,Non-English Language Learner Cohort Count,Non-English Language Learner Graduates,Non-English Language Learner Grad Rate,English Language Learner Cohort Count,English Language Learner Graduates,English Language Learner Grad Rate,Female Cohort Count,Female Graduates,Female Grad Rate,Male Cohort Count,Male Graduates,Male Grad Rate,Total Cohort Count,Total Graduates,Total Grad Rate
15,Adams Central Community Schools,,,,,,,,,,***,***,***,,,,,,,82,78,95.12%,66,65,98.48%,18,15,83.33%,77,77,100.00%,***,***,***,82,80,97.56%,***,***,***,35,35,100.00%,50,46,92.00%,85,81,95.29%
5265,Alexandria Community School Corporation,,,,,,,***,***,***,***,***,***,***,***,***,,,,118,116,98.31%,76,74,97.37%,54,54,100.00%,113,112,99.12%,17,16,94.12%,130,128,98.46%,,,,58,56,96.55%,72,72,100.00%,130,128,98.46%
5275,Anderson Community School Corporation,,,,***,***,***,107,101,94.39%,36,35,97.22%,29,26,89.66%,,,,247,231,93.52%,130,125,96.15%,284,265,93.31%,349,346,99.14%,65,44,67.69%,412,388,94.17%,***,***,***,188,179,95.21%,233,216,92.70%,421,395,93.82%
5470,Argos Community Schools,,,,,,,,,,***,***,***,***,***,***,,,,42,33,78.57%,24,21,87.50%,17,14,82.35%,36,32,88.89%,***,***,***,41,35,85.37%,,,,24,23,95.83%,20,12,60.00%,44,35,79.55%
2435,Attica Consolidated School Corporation,,,,,,,,,,,,,***,***,***,,,,40,37,92.50%,25,23,92.00%,17,16,94.12%,35,32,91.43%,***,***,***,42,39,92.86%,,,,25,24,96.00%,17,15,88.24%,42,39,92.86%
3315,Avon Community School Corporation,***,***,***,34,33,97.06%,72,69,95.83%,70,69,98.57%,35,34,97.14%,,,,499,485,97.19%,535,522,97.57%,168,164,97.62%,644,640,99.38%,60,46,76.67%,692,676,97.69%,12,10,83.33%,348,338,97.13%,363,353,97.25%,711,691,97.19%
1315,Barr-Reeve Community School Corporation,,,,,,,***,***,***,,,,,,,,,,41,41,100.00%,31,31,100.00%,11,11,100.00%,40,40,100.00%,***,***,***,42,42,100.00%,,,,23,23,100.00%,20,20,100.00%,43,43,100.00%
365,Bartholomew Consolidated School Corporation,***,***,***,36,36,100.00%,17,16,94.12%,72,62,86.11%,40,33,82.50%,***,***,***,697,626,89.81%,615,585,95.12%,227,191,84.14%,756,704,93.12%,91,72,79.12%,831,764,91.94%,16,12,75.00%,388,363,93.56%,479,414,86.43%,867,777,89.62%
6895,Batesville Community School Corporation,,,,***,***,***,,,,***,***,***,,,,,,,167,160,95.81%,139,138,99.28%,36,32,88.89%,156,155,99.36%,19,15,78.95%,175,170,97.14%,,,,81,81,100.00%,96,89,92.71%,177,170,96.05%
2260,Baugo Community Schools,,,,,,,***,***,***,***,***,***,***,***,***,,,,109,100,91.74%,81,77,95.06%,46,37,80.43%,114,103,90.35%,13,11,84.62%,125,112,89.60%,***,***,***,65,63,96.92%,62,51,82.26%,127,114,89.76%
