Name,2019 Poverty Rate,2018 Poverty Rate,2017 Poverty Rate,2016 Poverty Rate,2015 Poverty Rate
Adams Central Community Schools,23.05,24.79,25.9,29.28,28.04
Alexandria Community School Corporation,16.63,21.71,26.49,25.34,23.04
Anderson Community School Corporation,20.3,27.38,29.95,30.08,29.17
Argos Community Schools,15.29,18.99,16.95,15.35,12.62
Attica Consolidated School Corporation,16.28,17.85,20.27,16.42,17.21
Avon Community School Corporation,4.52,5.81,4.95,5.39,5.54
Barr-Reeve Community School Corporation,12.48,14.17,16.51,15.78,21.07
Bartholomew County School Corporation,16.21,11.21,13.57,13.75,14.65
Batesville Community School Corporation,8.48,9.63,8.93,10.07,9.76
Baugo Community Schools,7.94,8.91,8.58,10.58,12.24
Beech Grove City Schools,19.55,23.78,25.63,26.64,28.67
Benton Community School Corporation,10.3,14.14,14.07,13.92,14.51
Blackford County Schools,16.38,20.33,19.72,21.42,22.29
Bloomfield School District,15.92,17.12,17.41,20.21,15
Blue River Valley Schools,15.4,13.76,14.23,18.84,17.3
Bluffton-Harrison Metropolitan School District,11.5,13.91,14.51,16.04,15.4
Boone Township Metropolitan School District,6.51,10.61,11.66,10.06,13.06
Bremen Public Schools,6.84,7.73,9.34,8.84,8.03
Brown County County School Corporation,12.79,14.12,14.73,16.66,17.67
Brownsburg Community School Corporation,3.68,4.95,4.25,5.17,4.79
Brownstown Central Community School Corporation,9.42,11.97,10.59,12.48,12.67
C. A. Beard Memorial School Corporation,12.44,13.13,14.31,15.34,18.25
Cannelton City Schools,27.82,32.96,28.15,28.41,24.63
Carmel Clay Schools,2.82,2.88,2.45,2.72,3.56
Carroll Consolidated School Corporation,8.61,8.2,8.35,10.15,12.25
Caston School Corporation,10.09,11.63,13.02,16.39,17.77
Center Grove Community School Corporation,3.4,4.94,5.12,4.83,4.99
Centerville-Abington Community Schools,13.99,16.8,17.5,19.3,20.76
Central Noble Community School Corporation,8.55,9.64,11.6,15.13,13.48
City of East Chicago School District,34.46,46.89,42.27,43.22,45.9
Clark-Pleasant Community School Corporation,7.25,10.06,11.02,9.4,10.11
Clarksville Community School Corporation,13.94,19.3,21.21,19.6,20.79
Clay Community Schools,14.08,20.74,16.18,18.93,18.35
Clinton Central School Corporation,12.56,11.35,12.72,12.21,9.7
Clinton Prairie School Corporation,9.74,10.08,12.76,12.4,10.51
Cloverdale Community Schools,16.2,17.53,18.13,19.4,19.77
Concord Community Schools,10.79,13.25,12.91,17.09,17.47
Covington Community School Corporation,9.12,10.97,13.18,12.41,14.32
Cowan Community School Corporation,8.69,10.39,10.63,11.18,13.42
Crawford County Community School Corporation,21.87,22.15,22.41,23.67,24.2
Crawfordsville Community Schools,20.71,19.13,21.31,18.99,23.1
Crothersville Community Schools,13.82,14.01,11.72,16.18,14.29
Crown Point Community School Corporation,5.73,7.98,7.12,8.15,8.97
Culver Community Schools Corporation,14.5,16.59,15.45,15.73,15.16
Daleville Community Schools,14.49,14.01,11.06,12.54,14.85
Danville Community School Corporation,4.87,5.52,4.64,5.4,5.83
Decatur County Community Schools,11.9,11.05,11.17,12.89,12.59
Decatur Township Metropolitan School District,15.2,17.81,17.81,20.31,20.15
DeKalb County Central United School District,13.45,9.27,10.61,11.19,11.96
DeKalb County Eastern Community School District,14.59,12.44,11.83,10.53,12.63
Delaware Community School Corporation,12.7,14.92,14,14.44,14.11
Delphi Community School Corporation,11.22,11.22,13.01,14.22,11.01
Duneland School Corporation,5.71,9.18,9.55,7.97,11.02
East Allen County Schools,11.61,17.62,16.24,18.45,18.83
East Gibson School Corporation,12.2,11.54,13.55,12.92,13.44
East Noble School Corporation,10.31,11.51,13.22,13.88,12.28
East Porter County School Corporation,3.56,6.42,6.34,5.94,7.23
East Washington School Corporation,17.02,18.53,19.41,19.93,19.33
Eastbrook Community School Corporation,15.16,17.13,12.95,12.62,12.17
Eastern Greene County School District,17.75,13.93,13.65,16.71,15.9
Eastern Hancock County Community School Corporation,5.93,6.89,6.8,10.34,9.92
Eastern Howard School Corporation,6.01,7.2,10.02,11.3,11.27
Eastern Pulaski Community School Corporation,14.4,15.51,18.13,18.76,20.86
Edinburgh Community School Corporation,11.73,19.84,24.32,22.4,21.66
Elkhart Community Schools,15.58,19.46,17.2,21.91,22.73
Elwood Community School Corporation,15.74,23.3,24.77,25.73,25.27
Eminence Community School Corporation,8,8.71,10.35,14.18,13.83
Evansville-Vanderburgh School Corporation,15.99,18.88,18.82,20.95,22.22
Fairfield Community Schools,5.74,7.12,5.61,6.78,6.42
Fayette County School Corporation,15.47,18.32,18.1,19.32,21.27
Flat Rock-Hawcreek School Corporation,13.78,8.72,10.97,10.69,13.01
Fort Wayne Community Schools,15.69,23.3,21.79,24.93,25.38
Frankfort Community Schools,17.17,17.15,19.64,21.25,20.05
Franklin Community School Corporation,8.61,12.31,12.68,9.98,10.72
Franklin County Community School Corporation,12.55,11.26,11.55,12.8,12.95
Franklin Township Community School Corporation,6.92,8.08,8.85,10.47,10.4
Frankton-Lapel Community Schools,8.19,10.48,13.65,13.25,15.38
Fremont Community Schools,8.37,11.6,16.53,11.67,9.49
Frontier School Corporation,7.62,8.03,9.16,9.13,10
Garrett-Keyser-Butler Community Schools,14.18,13.57,14.88,13.95,14.27
Gary Community School Corporation,37.31,49.04,41.56,43.35,49.08
Goshen Community Schools,11.5,13.91,12.32,16.33,16.81
Greater Clark County Schools,13.36,14.26,14.35,15.43,15.77
Greater Jasper Consolidated Schools,6.86,9.03,8.53,6.62,7.18
Greencastle Community School Corporation,12.8,14.3,17.13,14.85,15.53
Greenfield-Central Community Schools,6.57,7.1,7.54,9.12,8.18
Greensburg Community Schools,12.51,16.43,16.63,17.83,19.58
Greenwood Community School Corporation,8.21,11.43,12.24,10.42,12.42
Griffith Public Schools,12.14,16.72,15.46,15.53,17.15
Hamilton Community Schools,13.57,15.81,10.62,9.57,7.81
Hamilton Heights School Corporation,5.72,6.38,5.43,7.19,6.89
Hamilton Southeastern Schools,3.61,3.41,3.16,3.87,3.98
Hammond School City,22.77,30.27,27.13,29.3,32.67
Hanover Community School Corporation,4.93,6.61,6.2,9.01,9.98
Highland School Town,9.02,11.05,9.63,11.03,11.54
Hobart School City,12.21,18.51,14.36,14.6,15.29
Huntington County Community School Corporation,11.07,12.39,13.19,14.49,14.7
Indianapolis Public Schools,26.54,32.9,34.04,41,42.06
Jac-Cen-Del Community School Corporation,15.27,20.02,17.48,23.26,21.24
Jay School Corporation,17.27,18.18,20.59,20.6,22.46
Jennings County Schools,15.04,18.23,16.3,18.23,18.47
John Glenn School Corporation,9.32,8.38,10.71,13.71,15.29
Kankakee Valley School Corporation,8.84,9.73,10.97,9.99,9.71
Knox Community School Corporation,16.25,21.28,23.52,22.25,22.18
Kokomo-Center Township Consolidated School Corporation,21.2,23.33,26.16,26.69,26.93
La Porte Community School Corporation,17.18,17.2,17.09,17.37,18.2
Lafayette School Corporation,19.84,20.6,22.28,22.32,23.66
Lake Central School Corporation,5.07,6.75,6.12,6.83,7.26
Lake Ridge Schools,26.28,39.29,36.75,39.76,42.56
Lake Station Community Schools,20.28,27.09,23.13,25.67,28.3
Lakeland School Corporation,12.57,12.61,14.52,14.38,14.07
Lanesville Community School Corporation,7.02,5.65,6.97,6.71,8.25
Lawrence Township Metropolitan School District,12.73,15.17,15.99,18.66,19.89
Lawrenceburg Community School Corporation,15.34,15.6,14.18,15.69,15.63
Lebanon Community School Corporation,10.2,8.02,9.25,12.56,11.69
Liberty-Perry Community School Corporation,16.23,12.44,12.75,14.89,15.98
Linton-Stockton School Corporation,17.7,17.84,18.05,20.52,22.83
Logansport Community School Corporation,14.88,17.5,20.39,19.89,19.84
Loogootee Community School Corporation,10.96,12.94,13.53,14.44,16.37
Maconaquah School Corporation,15.86,17.99,19.46,21.97,20.29
Madison Consolidated Schools,15,20.5,17.03,18.72,16.37
Madison-Grant United School Corporation,13.73,16.16,15.87,16.77,15
Manchester Community Schools,12.94,15.86,15.33,15.92,15.72
Marion Community Schools,27.87,32.4,34.57,33.58,33.16
Martinsville Schools Metropolitan School District,12.71,16.3,13.87,15.37,17.03
Medora Community School Corporation,16.72,26.09,22,24.75,26.03
Merrillville Community School,15.35,21.23,17.41,20.74,20.93
Michigan City Area Schools,32.49,31.32,27.15,30.49,30.84
Middlebury Community Schools,6.25,8.1,6.66,9.4,10.53
Milan Community Schools,10.14,11.66,10.67,12.88,11.06
Mill Creek Community School Corporation,7.28,11.17,9.17,9.91,9.93
Mishawaka School City,18.21,16.42,22.25,19.49,24.37
Mississinewa Community School Corporation,13.54,21.05,24.62,22.37,23.59
Mitchell Community Schools,12.16,13.32,14.5,17.69,16.42
Monroe Central School Corporation,12.31,12.9,14.58,18.4,23.55
Monroe County Community School Corporation,12.56,12.71,14.27,16.76,17.75
Monroe-Gregg School District,6.85,9.35,11.02,8.89,9.34
Mooresville Consolidated School Corporation,10.75,13.96,11.61,12.5,12.13
Mount Pleasant Township Community School Corporation,11.98,12.15,9.25,11.4,11.85
Mount Vernon Community School Corporation,4.33,4.95,5.2,6.27,6.1
Mount Vernon Metropolitan School District,10.13,12.22,12.96,12.99,12.95
Muncie Community Schools,31.09,32.44,27.4,31.65,34.04
Munster School Town,4.98,6.42,5.44,8.56,8.38
Nettle Creek School Corporation,13.16,15.87,17.39,18.98,17.46
New Albany-Floyd County Consolidated Schools,13.05,13.89,12.58,13.45,15.18
New Castle Community School Corporation,15.55,17.46,19.28,23.08,20.95
New Durham Township Metropolitan School District,14.24,13.21,10.83,14.46,14.78
New Prairie United School Corporation,12.6,14.88,12.15,15.08,15.83
Nineveh-Hensley-Jackson United School Corporation,7.25,10.79,11.02,8.53,11.32
Noblesville Schools,5.02,5.11,4.81,6.03,6.63
North Adams Community Schools,10.61,11.32,12.57,14.19,12.48
North Central Parke Community School Corporation,23.77,22.81,18.67,22.79,21.59
North Daviess Community Schools,12.22,11.22,14.07,16.5,16.64
North Gibson School Corporation,13.05,12.82,13.96,15.8,17.42
North Harrison Community School Corporation,10.24,11.67,11.27,12.73,13.7
North Judson-San Pierre School Corporation,14.67,17.88,20.57,19.64,19.02
North Knox School Corporation,14.09,17.85,19.21,21.23,22.3
North Lawrence Community Schools,13.67,16.42,16.21,18.69,19.73
North Miami Community Schools,9.88,10.96,12.67,13.88,13.1
North Montgomery Community School Corporation,9.99,9.64,10.11,12.7,15.71
North Newton School Corporation,9.14,11.06,11.82,13,12.84
North Posey County Schools Metropolitan School District,5.75,6.62,7.19,8.04,8.38
North Putnam Community Schools,10.9,10.8,12.39,14.39,16.32
North Spencer County School Corporation,7.66,8.6,8.36,7.63,8.47
North Vermillion Community School Corporation,17.47,21.15,16.86,18.67,22.13
North West Hendricks Schools,3.47,4.08,3.38,3.97,4.3
North White School Corporation,17.46,17.93,24.58,26.58,27.89
Northeast Dubois County School Corporation,5.61,7.37,6.79,6.55,7.86
Northeast School Corporation,17.48,18.94,16.98,18.87,15.24
Northeastern Wayne Schools,18.42,21.78,21.93,22.29,24.28
Northern Wells Community Schools,8.37,9.81,8.48,10.63,11.51
Northwest Allen County Schools,3.27,4.78,4.44,6.69,6.47
Northwestern Consolidated School Corporation,11.25,14.22,13.17,15.41,12.68
Northwestern School Corporation,9.19,10.64,12.93,13.6,13.31
Oak Hill United School Corporation,11.24,14.1,14.88,15.58,14.27
Oregon-Davis School Corporation,13.71,14.57,18.32,20.08,15.81
Orleans Community Schools,19.47,19.28,20.29,22.6,24.28
Paoli Community School Corporation,22.54,23.69,22.24,23.22,22.8
Penn-Harris-Madison School Corporation,8.3,6.43,7.81,8.23,9.72
Perry Central Community School Corporation,8.9,9.77,9.4,10.12,8.88
Perry Township Metropolitan School District,12.08,15.61,16.67,20.37,21.06
Peru Community Schools,19.38,21.87,22.97,27.49,24.13
Pike County School Corporation,10.52,11.95,12.56,13.59,14.45
Pike Township Metropolitan School District,14.4,17.4,18.07,22.09,23.29
Pioneer Regional School Corporation,9.74,11.85,14.11,17.16,18.07
Plainfield Community School Corporation,5.55,7.38,6.22,6.98,7.61
Plymouth Community School Corporation,13.75,14.9,16.69,18.33,17.94
Portage Township Schools,10.33,16.33,16.2,12.63,18
Porter Township School Corporation,5.12,7.35,7.1,6.19,8.32
Prairie Heights Community School Corporation,9.23,9.79,14.54,17.31,17.01
Randolph Central School Corporation,16.88,18.57,20.77,25.9,24.74
Randolph Eastern School Corporation,18.47,23.25,25.06,27.26,29.74
Randolph Southern School Corporation,15.91,19.63,22.99,25.36,19.09
Rensselaer Central School Corporation,10.51,12.24,14.78,12.85,14.34
Richland-Bean Blossom Community School Corporation,10.71,10.67,10.87,11.35,12.04
Richmond Community School Corporation,20.51,23.17,24.67,25.13,29.17
Rising Sun-Ohio County Community Schools,12.91,10.66,11.91,13.65,13.53
River Forest Community School Corporation,25.8,34.34,29.76,33.85,37.41
Rochester Community School Corporation,12.68,21.31,16.95,17.71,17.07
Rossville Consolidated School District,7.83,7.65,9.81,10.84,13.14
Rush County Schools,13.22,14.75,16.05,17.29,18.87
