State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,60,Adams Central Community Schools,8930,2475,694
IN,18,120,Alexandria Community School Corporation,8658,1493,344
IN,18,150,Anderson Community School Corporation,70465,10621,3098
IN,18,180,Argos Community Schools,3834,737,93
IN,18,210,Attica Consolidated School Corporation,4837,831,143
IN,18,270,Avon Community School Corporation,48682,10061,557
IN,18,330,Barr-Reeve Community School Corporation,5657,1433,302
IN,18,360,Bartholomew County School Corporation,75132,13088,1918
IN,18,390,Batesville Community School Corporation,12053,2378,232
IN,18,420,Baugo Community Schools,9713,2051,251
IN,18,450,Beech Grove City Schools,14390,2633,755
IN,18,480,Benton Community School Corporation,11024,2116,307
IN,18,570,Blackford County Schools,12298,1974,440
IN,18,600,Bloomfield School District,6783,1100,165
IN,18,660,Blue River Valley Schools,6674,740,128
IN,18,720,Bluffton-Harrison Metropolitan School District,8632,1500,231
IN,18,750,Boone Township Metropolitan School District,6281,1087,142
IN,18,900,Bremen Public Schools,8866,1880,151
IN,18,960,Brown County County School Corporation,14977,2269,401
IN,18,1020,Brownsburg Community School Corporation,43791,9077,435
IN,18,1050,Brownstown Central Community School Corporation,10781,1886,239
IN,18,1060,C. A. Beard Memorial School Corporation,7954,1370,250
IN,18,1170,Cannelton City Schools,1564,272,67
IN,18,1200,Carmel Clay Schools,93949,20456,729
IN,18,1290,Carroll Consolidated School Corporation,6472,1143,140
IN,18,1410,Caston School Corporation,4510,799,142
IN,18,1440,Center Grove Community School Corporation,43501,8780,438
IN,18,1560,Centerville-Abington Community Schools,8271,1604,333
IN,18,1710,Central Noble Community School Corporation,8795,1528,206
IN,18,2880,City of East Chicago School District,29208,6042,2773
IN,18,1890,Clark-Pleasant Community School Corporation,34584,6759,683
IN,18,1920,Clarksville Community School Corporation,9567,1462,304
IN,18,840,Clay Community Schools,25776,4360,800
IN,18,2130,Clinton Central School Corporation,5270,1062,103
IN,18,2160,Clinton Prairie School Corporation,5697,980,103
IN,18,2220,Cloverdale Community Schools,7369,1199,237
IN,18,2400,Concord Community Schools,26501,5187,906
IN,18,2430,Covington Community School Corporation,5330,866,124
IN,18,7020,Cowan Community School Corporation,3703,641,86
IN,18,2440,Crawford County Community School Corporation,10858,1810,438
IN,18,2460,Crawfordsville Community Schools,15610,2381,550
IN,18,12060,Crothersville Community Schools,3555,567,81
IN,18,2490,Crown Point Community School Corporation,41120,7455,669
IN,18,2520,Culver Community Schools Corporation,6922,1161,176
IN,18,9840,Daleville Community Schools,4006,653,97
IN,18,2550,Danville Community School Corporation,14758,2918,170
IN,18,1590,DeKalb County Central United School District,24382,4381,524
IN,18,3060,DeKalb County Eastern Community School District,7909,1583,200
IN,18,2610,Decatur County Community Schools,12338,2383,300
IN,18,2640,Decatur Township Metropolitan School District,33683,7163,1443
IN,18,2660,Delaware Community School Corporation,14903,2559,361
