Corp ID,Corporate Name,Corp Grade 2015
15,Adams Central Community Schools,C
5265,Alexandria Community School Corporation,C
5275,Anderson Community School Corporation,D
5470,Argos Community Schools,B
2435,Attica Consolidated School Corporation,D
3315,Avon Community School Corporation,A
1315,Barr-Reeve Community School Corporation,A
365,Bartholomew Consolidated School Corporation,C
6895,Batesville Community School Corporation,B
2260,Baugo Community Schools,C
5380,Beech Grove City Schools,C
395,Benton Community School Corporation,C
515,Blackford County Schools,C
2920,Bloomfield School District,C
3405,Blue River Valley Schools,D
8445,Bluffton-Harrison Metropolitan School District,D
6460,Boone Township Metropolitan School District,C
5480,Bremen Public Schools,B
670,Brown County School Corporation,C
3305,Brownsburg Community School Corporation,A
3695,Brownstown Central Community School Corporation,D
3455,C. A. Beard Memorial School Corporation,D
6340,Cannelton City Schools,F
3060,Carmel Clay Schools,A
750,Carroll Consolidated School Corporation,D
2650,Caston School Corporation,C
4205,Center Grove Community School Corporation,A
8360,Centerville-Abington Community Schools,C
6055,Central Noble Community School Corporation,D
4145,Clark-Pleasant Community School Corporation,C
1000,Clarksville Community School Corporation,C
1125,Clay Community Schools,D
1150,Clinton Central School Corporation,C
1160,Clinton Prairie School Corporation,B
6750,Cloverdale Community Schools,D
2270,Concord Community Schools,D
2440,Covington Community School Corporation,B
1900,Cowan Community School Corporation,B
1300,Crawford County Community School Corporation,B
5855,Crawfordsville Community Schools,C
3710,Crothersville Community Schools,B
4660,Crown Point Community School Corporation,A
5455,Culver Community Schools Corporation,D
1940,Daleville Community Schools,D
3325,Danville Community School Corporation,C
1655,Decatur County Community Schools,C
5300,Decatur Township Metropolitan School District,D
1835,DeKalb County Central United School District,C
1805,DeKalb County Eastern Community School District,C
1875,Delaware Community School Corporation,A
755,Delphi Community School Corporation,C
6470,Duneland School Corporation,A
255,East Allen County Schools,C
2725,East Gibson School Corporation,D
6060,East Noble School Corporation,C
6510,East Porter County School Corporation,C
8215,East Washington School Corporation,C
2815,Eastbrook Community School Corporation,C
2940,Eastern Greene County School District,B
3145,Eastern Hancock County Community School Corporation,B
3480,Eastern Howard School Corporation,C
6620,Eastern Pulaski Community School Corporation,C
4215,Edinburgh Community School Corporation,D
2305,Elkhart Community Schools,D
5280,Elwood Community School Corporation,D
5910,Eminence Community School Corporation,D
7995,Evansville Vanderburgh School Corporation,D
2155,Fairfield Community Schools,C
2395,Fayette County School Corporation,B
370,Flat Rock-Hawcreek School Corporation,B
235,Fort Wayne Community Schools,F
1170,Frankfort Community Schools,D
4225,Franklin Community School Corporation,C
2475,Franklin County Community School Corporation,C
5310,Franklin Township Community School Corporation,C
5245,Frankton-Lapel Community Schools,D
7605,Fremont Community Schools,C
8525,Frontier School Corporation,C
1820,Garrett-Keyser-Butler Community School Corporation,D
4690,Gary Community School Corporation,F
2315,Goshen Community Schools,C
1010,Greater Clark County Schools,D
2120,Greater Jasper Consolidated Schools,B
6755,Greencastle Community School Corporation,D
3125,Greenfield-Central Community Schools,C
1730,Greensburg Community Schools,D
4245,Greenwood Community School Corporation,B
4700,Griffith Public Schools,C
7610,Hamilton Community Schools,F
3025,Hamilton Heights School Corporation,B
3005,Hamilton Southeastern Schools,A
4580,Hanover Community School Corporation,C
3625,Huntington County Community School Corporation,C
5385,Indianapolis Public Schools,F
6900,Jac-Cen-Del Community School Corporation,C
3945,Jay School Corporation,C
4015,Jennings County School Corporation,C
7150,John Glenn School Corporation,C
3785,Kankakee Valley School Corporation,B
7525,Knox Community School Corporation,D
3500,Kokomo School Corporation,D
7855,Lafayette School Corporation,D
